I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6,Pleth,Resp,Temp
159,161,1,-160,79,81,111,252,275,384,84,147,-3,-1651,365
493,246,-248,-369,370,-1,96,586,746,801,519,372,-17,-1669,365
940,647,-293,-793,616,176,-535,-59,774,1381,1374,1013,-35,-1681,365
750,403,-347,-576,548,28,-883,-854,-75,735,899,821,-54,-1690,365
222,-146,-369,-38,296,-257,-452,-780,-932,-449,-376,-39,-74,-1700,365
99,-20,-119,-39,109,-69,-193,-427,-614,-248,-350,-98,-95,-1703,365
73,20,-53,-46,63,-16,-23,-174,-277,-30,-225,-52,-116,-1709,365
-13,-31,-18,22,3,-25,92,-102,-218,1,-239,-67,-139,-1710,365
-28,-29,-1,28,-13,-14,85,-90,-169,65,-187,-40,-162,-1710,365
-24,-34,-10,29,-7,-21,100,-81,-189,24,-213,-58,-183,-1711,365
-25,-17,8,21,-17,-4,92,-85,-152,62,-181,-34,-205,-1707,365
-34,-34,0,34,-17,-16,97,-70,-158,33,-201,-45,-228,-1703,365
-43,-28,15,36,-29,-6,76,-55,-136,53,-182,-26,-248,-1700,365
-38,-11,27,24,-32,8,109,-40,-133,70,-188,-24,-269,-1698,365
-44,-21,23,32,-34,1,133,-37,-123,77,-186,-13,-291,-1694,365
-69,-55,15,62,-41,-20,114,-28,-112,71,-189,-3,-314,-1689,365
-10,-14,-4,12,-3,-9,116,-24,-107,57,-188,-1,-334,-1689,365
0,-3,-3,2,1,-3,106,-12,-91,77,-179,14,-355,-1690,365
-82,-52,30,66,-56,-11,114,1,-83,109,-178,3,-374,-1692,365
-68,-51,17,59,-43,-17,129,16,-68,115,-171,-13,-394,-1695,365
-39,-34,5,36,-22,-14,88,39,-55,112,-169,-23,-413,-1699,365
-16,-21,-5,19,-5,-13,85,66,-21,121,-162,-30,-432,-1703,365
64,37,-27,-50,46,5,113,103,19,153,-142,-26,-452,-1705,365
87,67,-20,-77,53,23,126,138,41,180,-112,-22,-470,-1705,365
75,52,-23,-63,48,14,171,174,86,204,-83,-14,-488,-1704,365
69,36,-34,-52,51,1,153,206,128,230,-56,7,-504,-1708,365
71,48,-23,-59,47,12,91,255,169,264,-39,40,-521,-1711,365
110,94,-16,-102,63,39,78,286,213,284,-24,38,-535,-1710,365
100,88,-12,-94,56,38,86,297,236,296,-10,52,-549,-1716,365
133,111,-21,-122,77,45,85,307,240,316,3,86,-560,-1716,365
157,116,-41,-137,99,38,58,295,223,307,25,77,-569,-1715,365
136,96,-40,-116,88,28,29,285,210,302,28,83,-580,-1716,365
172,136,-36,-154,104,49,22,266,203,296,18,86,-591,-1714,365
156,134,-22,-145,89,56,-14,225,183,292,14,81,-599,-1711,365
145,137,-8,-141,76,64,7,151,118,272,-4,78,-607,-1707,365
150,135,-15,-142,82,60,62,75,51,220,-45,68,-614,-1700,365
144,120,-23,-132,83,48,21,24,9,183,-69,62,-621,-1692,365
139,120,-18,-129,78,51,-8,-6,-38,176,-72,52,-627,-1681,365
99,84,-15,-91,56,35,-33,-41,-74,161,-90,46,-633,-1671,365
96,64,-32,-79,64,16,-28,-82,-111,131,-101,38,-637,-1660,365
55,22,-33,-38,44,-6,42,-104,-146,114,-121,27,-653,-1651,365
-2,-26,-24,14,11,-25,68,-124,-169,106,-150,14,-652,-1641,365
2,-12,-13,5,8,-12,49,-118,-170,101,-150,3,-684,-1631,365
44,26,-18,-35,30,4,32,-110,-164,96,-149,-12,-667,-1619,365
81,39,-43,-60,62,-2,24,-105,-163,89,-150,-28,-730,-1607,365
